name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme
,1987,Highland Turnpike,,,Monterey,VA,24465,38.400017433000073,-79.54903287,
,2295,Highland Turnpike,,,Monterey,VA,24465,38.396936426000018,-79.54592069,
,2740,Highland Turnpike,,,Monterey,VA,24465,38.390748650000027,-79.54879719,
,38,Highlands Court,,,Monterey,VA,24465,38.402716218000080,-79.59316695,
,71,Highlands Court,,,Monterey,VA,24465,38.401616548000050,-79.59289149,
,72,Highlands Court,,,Monterey,VA,24465,38.402455693000029,-79.59352396,
,83,Highlands Court,,,Monterey,VA,24465,38.401713393000080,-79.59354381,
,97,Highlands Court,,,Monterey,VA,24465,38.401871655000029,-79.59394459,
,129,Highlands Court,,,Monterey,VA,24465,38.402331110000027,-79.59456323,
,157,Highlands Court,,,Monterey,VA,24465,38.402677052000058,-79.59461596,
,162,Highlands Court,,,Monterey,VA,24465,38.402835640000028,-79.59395875,
,172,Highlands Court,,,Monterey,VA,24465,38.403245390000052,-79.59394931,
,175,Highlands Court,,,Monterey,VA,24465,38.403019284000038,-79.59490146,
,176,Highlands Court,,,Monterey,VA,24465,38.404111197000070,-79.59371028,
,177,Highlands Court,,,Monterey,VA,24465,38.403424235000038,-79.59485046,
,178,Highlands Court,,,Monterey,VA,24465,38.403480062000028,-79.59413229,
,45,Hill Top Drive,,,Monterey,VA,24465,38.428055655000030,-79.56509885,
,110,Hill Top Drive,,,Monterey,VA,24465,38.429405772000052,-79.56523582,
,153,Hill Top Drive,,,Monterey,VA,24465,38.430010857000070,-79.56599377,
,65,Hiners Lane,,,Monterey,VA,24465,38.422142386000068,-79.57434967,
,73,Hiners Lane,,,Monterey,VA,24465,38.421686482000041,-79.57294341,
,222,Hiners Lane,,,Monterey,VA,24465,38.423918267000033,-79.57231761,
,300,Hiners Lane,,,Monterey,VA,24465,38.423949871000048,-79.57501189,
,304,Hiners Lane,,,Monterey,VA,24465,38.423882985000027,-79.5762873,
,33,Hull Lane,,,Monterey,VA,24465,38.370632079000067,-79.61979733,
,52,Hull Lane,,,Monterey,VA,24465,38.370486170000049,-79.62042478,
,106,Hull Lane,,,Monterey,VA,24465,38.369938666000053,-79.6197061,
,711,Hull Lane,,,Monterey,VA,24465,38.364854457000028,-79.61064659,
,181,Hummingbird Lane,,,Monterey,VA,24465,38.266971189000060,-79.67558404,
,625,Hummingbird Lane,,,Monterey,VA,24465,38.270666490000053,-79.6816253,
,578,Jack Mountain Road,,,Monterey,VA,24465,38.440348327000038,-79.52389762,
,652,Jack Mountain Road,,,Monterey,VA,24465,38.439975341000029,-79.51940794,
,1331,Jack Mountain Road,,,Monterey,VA,24465,38.443232819000059,-79.51498374,
