name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme
,545,Backbone Lane,,,Blue Grass,VA,24413,38.501892705000039,-79.52861695,
,683,Backbone Lane,,,Blue Grass,VA,24413,38.502318878000040,-79.52622775,
,28,Blue Grass Cemetery Road,,,Blue Grass,VA,24413,38.503029238000060,-79.54957813,
,722,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.485768264000058,-79.5211253,
,807,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.486074559000031,-79.52685695,
,840,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.487368998000079,-79.52197727,
,848,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.486678395000069,-79.52256155,
,892,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.486666596000070,-79.52360494,
,956,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.487004916000039,-79.52501215,
,1003,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.487510840000020,-79.52919153,
,1017,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.487412672000062,-79.52731238,
,1022,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.487579841000070,-79.52600276,
,1118,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.488320220000048,-79.52632298,
,1120,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.490004812000052,-79.52382383,
,1182,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.489013063000073,-79.5274958,
,1355,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.491391773000032,-79.52954558,
,1445,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.492725235000080,-79.53038711,
,1528,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.493718814000033,-79.53085966,
,1697,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.493519655000050,-79.53257654,
,2022,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.498452141000030,-79.53950489,
,2024,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497567940000060,-79.53888078,
,2117,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.496483799000032,-79.54216075,
,2320,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.499124609000027,-79.54451525,
,2418,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497927965000031,-79.54575765,
,2463,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497508980000070,-79.54659659,
,2478,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497775226000037,-79.54689076,
,2503,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497551660000049,-79.54734807,
,2506,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497739143000040,-79.54746179,
,2519,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497551622000060,-79.54767344,
,2520,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497763422000048,-79.54767063,
,2529,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497494297000060,-79.54783415,
,2536,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497770742000050,-79.54799487,
,2549,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497496405000049,-79.54817731,
,2555,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497436014000073,-79.54844854,
,2558,Blue Grass Valley Road,Apartment,A,Blue Grass,VA,24413,38.497764466000028,-79.54831567,
,2558,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497764466000028,-79.54831567,
